Bot,Humain
,39.0
,28.0
,27.0
,29.0
,34.0
,28.5
,66.5
,31.0
,30.0
,41.0
,31.0
,66.5
,34.0
,36.0
,58.0
,29.0
,32.5
,42.0
,28.0
,61.5
,55.5
,22.0
,29.0
,34.0
,32.0
,33.0
,66.0
,31.0
,61.0
,26.0
,39.0
,39.5
,37.0
,34.0
,33.0
,39.0
,29.0
,37.0
,51.5
,31.0
,31.0
,26.0
,65.5
,24.0
,40.0
,33.0
,59.5
,80.0
,69.5
,35.0
,38.0
,66.5
,68.5
,33.0
,32.0
,32.0
,72.0
,26.0
,69.0
,66.0
,27.0
,26.0
,38.0
,41.0
,29.5
,36.0
,35.0
,21.0
,26.0
,67.5
,57.5
,29.0
,31.0
,34.0
,30.0
,37.0
,42.0
,31.0
,30.0
,69.0
,33.0
,61.5
,31.0
,40.0
,37.0
,51.0
,32.0
,61.0
,37.0
,32.0
,54.0
,73.5
,22.0
,69.5
,22.0
,29.5
,31.0
,56.0
,28.5
,61.0
,33.0
,29.0
,80.0
,25.0
,22.0
,30.0
,63.5
,33.0
,41.0
,58.0
,72.5
,34.0
,70.5
,35.0
,69.0
,70.5
,66.0
,41.0
,35.5
,23.0
,39.0
,29.0
,58.0
,35.0
,29.0
,67.5
,63.5
,63.0
,27.0
,29.0
,100.0
,57.0
,98.0
,36.0
,28.0
,16.0
,56.0
,73.0
,34.0
,54.5
,66.0
,23.0
,100.0
,40.0
,11.0
,26.0
,23.0
,34.0
,36.0
,27.0
,39.0
,68.5
,27.0
,39.0
,33.0
,40.5
,50.0
,40.0
,34.0
,38.0
,31.0
,26.0
,66.5
,39.0
,57.0
,100.0
,40.0
,36.5
,39.0
,50.0
,32.5
,30.5
,37.0
,50.5
,52.5
,63.0
,66.5
,28.0
,34.0
,36.0
,22.5
,37.0
,52.5
,31.0
,35.0
,34.0
,27.0
,28.0
,68.5
,35.0
,26.0
,26.0
,23.0
,29.0
,33.0
,68.0
,28.0
,24.0
,23.0
,31.0
,28.5
,36.5
,67.0
,36.0
,36.5
,35.0
,47.0
,34.0
,47.0
,64.0
,58.0
,26.0
,69.0
,31.0
,63.0
,71.5
,63.5
,32.0
,32.0
,63.5
,37.0
,41.0
,33.5
,47.0
,39.0
,30.0
,31.0
,80.0
,85.5
,32.0
,31.0
,34.0
,7.0
,69.0
,31.0
,29.0
,52.5
,71.0
,29.0
,26.0
,59.0
