Compte,lev,Type
jamescryer,39.0,Human
trevorstephens,34.5,Human
samdark,30.0,Human
zidad,54.5,Human
etix,24.0,Human
XhmikosR,35.0,Human
vladikoff,29.5,Human
FagnerMartinsBrack,28.0,Human
c0gent,24.0,Human
deargle,26.0,Human
LordMike,33.5,Human
yoavaa,66.0,Human
romaric-juniet,36.0,Human
philips77,25.0,Human
deepu105,31.5,Human
saudet,31.0,Human
vkarpov15,40.0,Human
ToniA,37.0,Human
segiddins,29.0,Human
christian-fei,67.0,Human
randy3k,25.0,Human
jeremeamia,29.0,Human
jgrandja,58.0,Human
leblancfg,68.0,Human
synzen,31.0,Human
jdalton,32.0,Human
dg,29.0,Human
JanTvrdik,33.5,Human
glguy,42.0,Human
jtdaugherty,28.0,Human
lavrton,34.0,Human
phillipj,24.0,Human
redboltz,20.0,Human
jfcabral,65.5,Human
ipolevoy,30.0,Human
andreynering,32.0,Human
Arkni,22.5,Human
alexsavio,45.0,Human
thinkingserious,31.5,Human
matthiask,70.5,Human
jsonmaur,69.0,Human
kevinchalet,39.0,Human
alanhamlett,41.0,Human
larskanis,31.0,Human
smtakeda,69.0,Human
PierreQuentel,27.0,Human
astefanutti,60.5,Human
mengxiong10,53.0,Human
blakeembrey,66.0,Human
blacktop,13.5,Human
weppos,40.0,Human
colinmarc,40.0,Human
johnmay,33.0,Human
rcannood,59.0,Human
joni2back,26.0,Human
cheton,60.0,Human
SamSaffron,60.5,Human
aheckmann,41.0,Human
asciimoo,62.0,Human
WasabiFan,34.0,Human
GrahamCampbell,37.0,Human
ruslanskorb,36.0,Human
johnynek,31.0,Human
wilkinsona,35.0,Human
slandelle,27.0,Human
ejmr,41.0,Human
maxekman,56.0,Human
benthestatistician,27.5,Human
ndbroadbent,36.0,Human
ychin,29.5,Human
jodosha,24.0,Human
etorreborre,29.0,Human
thomaspark,30.0,Human
Yomguithereal,33.0,Human
Civil,36.0,Human
PascalSchumacher,32.0,Human
jricher,27.5,Human
