Compte,lev,Type
andrewimm,27.5,Human
jdolitsky,21.0,Human
mykola-mokhnach,27.0,Human
scottcorgan,16.0,Human
sawanoboly,0.0,Human
Rikkola,22.0,Human
jongmoon,33.0,Human
jcraigk,26.0,Human
Arkounay,100.0,Human
integrii,25.0,Human
shockey,4.0,Human
jaqx0r,100.0,Human
bartoszpietrzak1994,27.0,Human
sequoiaat,10.0,Human
kinggoesgaming,42.0,Human
antleblanc,34.0,Human
jrobeson,43.0,Human
lucaslorentz,17.0,Human
ruimarinho,100.0,Human
Martin0809,100.0,Human
tomkerkhove,25.0,Human
cycjimmy,11.0,Human
vlttnv,100.0,Human
Gbuomprisco,100.0,Human
ueokande,17.5,Human
ondrej-fabry,10.0,Human
DjebbZ,21.0,Human
MortalFlesh,100.0,Human
maciejtreder,100.0,Human
dcousens,16.0,Human
ekohl,25.0,Human
marjan-georgiev,75.0,Human
tartley,33.5,Human
junderw,23.0,Human
nicolaasuni,30.0,Human
ankurs,100.0,Human
SML-MeSo,18.0,Human
plazma-prizma,100.0,Human
smoke,100.0,Human
taku910,100.0,Human
euvl,0.5,Human
serpentcs-dev1,36.0,Human
dbaeumer,100.0,Human
deepakkumar1984,100.0,Human
PuercoPop,29.0,Human
davazp,20.0,Human
kevinmehall,23.0,Human
Tasteful,21.0,Human
anntzer,32.0,Human
icy,12.0,Human
skyesx,0.0,Human
dreampiggy,27.0,Human
gavinorland,22.0,Human
bailantaotao,100.0,Human
fooontic,25.0,Human
cuining,100.0,Human
ajayns,26.0,Human
PabloGarcimartin,27.0,Human
dborsatto,100.0,Human
ltparis2018,1.0,Human
JimGreenberg,33.0,Human
MindFlavor,4.0,Human
sohamkamani,22.5,Human
italolelis,53.5,Human
bgrainger,10.0,Human
tarampampam,28.0,Human
allencloud,41.0,Human
genomics-geek,66.0,Human
ymmt2005,13.0,Human
vmarkovtsev,12.0,Human
dhollinger,2.5,Human
amay077,11.0,Human
schweitzdesign,12.0,Human
tomreid76,13.0,Human
AnthonyBloomer,100.0,Human
samussiah,25.0,Human
eed3si9n,5.0,Human
mikem8361,17.0,Human
garethahealy,16.0,Human
kazuki43zoo,22.0,Human
ebussieres,33.0,Human
jcfr,30.0,Human
mwbutcher,37.0,Human
zreichert,30.0,Human
msaps,4.0,Human
shrektan,27.0,Human
aelanman,23.0,Human
MatthewDolan,100.0,Human
sqweelygig,65.0,Human
savage-engineer,30.0,Human
tobilg,100.0,Human
PTaylour,18.0,Human
tyrchen,100.0,Human
matthewhanson,10.0,Human
sserrata,1.0,Human
gerhardsletten,62.5,Human
AVVS,7.0,Human
greenkeeper,47.0,Human
sparhami,24.0,Human
ponychicken,33.0,Human
jonobr1,20.0,Human
jessfraz,24.0,Human
maartenbreddels,100.0,Human
MichaelAquilina,17.0,Human
timfallmk,24.0,Human
KaitCrawford,26.0,Human
daschult,12.5,Human
RikkiGibson,12.5,Human
rdmurphy,36.0,Human
andersondalmina,19.0,Human
juliabpp,25.0,Human
tylertreat,4.0,Human
stereobooster,7.0,Human
jdeeburke,38.5,Human
mikaoj,100.0,Human
hamzahamidi,100.0,Human
davesque,49.0,Human
francisco-maciel,25.5,Human
edgurgel,50.0,Human
dmacthedestroyer,22.0,Human
dylans,100.0,Human
MattHodge,33.0,Human
pmarks,35.0,Human
johngian,100.0,Human
dipinhora,24.0,Human
spartan218,34.0,Human
ppolewicz,100.0,Human
bwbeach,6.0,Human
tim-speed,29.0,Human
beyerleinf,80.0,Human
wessmith,30.0,Human
dkent600,27.0,Human
gerkovink,29.0,Human
stefvanbuuren,100.0,Human
derkan,27.0,Human
dgoodwin,30.5,Human
csrwng,32.0,Human
martindurant,12.0,Human
matthewdfuller,9.0,Human
fredliporace,61.0,Human
fliptaboada,100.0,Human
mh-park,23.0,Human
darrachequesne,23.0,Human
boz,5.0,Human
bradvogel,3.0,Human
gustavosbarreto,19.0,Human
cpu,34.0,Human
brendan-ward,38.0,Human
akrabat,41.0,Human
t-kelly,30.0,Human
jonathanmoore,68.0,Human
scotttrinh,38.0,Human
dylanpyle,34.5,Human
varahash,3.0,Human
nikhilym,85.0,Human
suzuki-shunsuke,100.0,Human
taion,100.0,Human
tdewolff,6.5,Human
liabru,35.0,Human
Roasbeef,30.0,Human
Shouqun,100.0,Human
oleavr,100.0,Human
smikula,17.0,Human
hadjipantelis,26.0,Human
topepo,4.0,Human
slr71,19.0,Human
dgassaway,26.0,Human
bertjwregeer,20.0,Human
prescottprue,43.0,Human
hnovikov,24.0,Human
Christina-Kang,85.0,Human
samedder,11.0,Human
akshayjshah,28.0,Human
buschtoens,30.0,Human
dfreeman,24.0,Human
papandreou,64.5,Human
sumitkdey,100.0,Human
texastoland,59.5,Human
JamesHenry,6.0,Human
jpcarzolio,23.5,Human
tnrich,100.0,Human
krystophv,32.0,Human
waigani,25.0,Human
emersonwood,100.0,Human
colin-marshall,24.0,Human
jayair,100.0,Human
fetrarij,2.5,Human
tiggerntatie,100.0,Human
nazrhom,95.0,Human
fzerorubigd,100.0,Human
SirePi,28.0,Human
ilexp,27.5,Human
jamienoss,90.0,Human
pllim,20.0,Human
JoshKarpel,23.0,Human
comtihon,24.0,Human
GermanBluefox,25.0,Human
Tanner-MS,64.5,Human
wcjordan,72.0,Human
wernerglinka,100.0,Human
feltech,40.0,Human
ZNick1982,24.0,Human
frankus,31.0,Human
Scrum,100.0,Human
joelmartinez,3.0,Human
nelio2k,15.0,Human
heynext,3.0,Human
norkans7,100.0,Human
sharafian,29.0,Human
jmmv,32.0,Human
diogonicoleti,33.0,Human
Mogball,100.0,Human
kytrinyx,33.0,Human
pstehlik,69.0,Human
manofstick,32.0,Human
iamcal,8.0,Human
ARolek,4.0,Human
mrmrs,35.0,Human
heyzooi,100.0,Human
Widdershin,32.5,Human
staltz,30.0,Human
kashike,50.0,Human
sameb,20.0,Human
jamiealquiza,3.0,Human
grofit,67.5,Human
OndraM,100.0,Human
jridgewell,24.0,Human
jkasten2,29.0,Human
djhouseknecht,100.0,Human
gliptak,24.0,Human
WSmonkey,100.0,Human
jessepeterson,6.0,Human
istarkov,18.0,Human
ludwigschubert,23.0,Human
Ntonio36,9.0,Human
maxbrunsfeld,23.0,Human
Nightsd01,36.0,Human
anishkny,100.0,Human
vitorbal,25.0,Human
asyncanup,10.0,Human
jpeach,40.0,Human
zalmoxisus,39.0,Human
rnojiri,42.0,Human
ajoymajumdar,27.0,Human
michelvocks,9.0,Human
