Compte,lev,Type
ciscoheat,100.0,Human
rasmuserik,9.0,Human
ElRaptorus,100.0,Human
mosquito,100.0,Human
aokumasan,32.0,Human
snoyberg,13.0,Human
thedrow,100.0,Human
auvipy,100.0,Human
peterdettman,100.0,Human
NickNeck,100.0,Human
cmswalker,35.5,Human
alvarotrigo,14.0,Human
galvesribeiro,18.0,Human
syndbg,6.0,Human
iwasaki-kenta,34.0,Human
hSaria,100.0,Human
scottbedard,23.0,Human
jaredallard,100.0,Human
Hypnosphi,100.0,Human
wonderflow,14.0,Human
csoltenborn,100.0,Human
s-nakajima,15.0,Human
rminnich,51.0,Human
gsmet,100.0,Human
jmrodri,17.0,Human
faiface,100.0,Human
markya0616,30.0,Human
fredwangwang,21.0,Human
matfish2,100.0,Human
ClaraBuettner,100.0,Human
doug-martin,4.0,Human
askurydzin,40.0,Human
ai,100.0,Human
w0rm,15.0,Human
alshakero,100.0,Human
daviscabral,10.5,Human
aksonov,100.0,Human
kud,26.0,Human
vieron,100.0,Human
silasdavis,26.0,Human
tophsic,36.5,Human
sabas,13.0,Human
sfriedel,100.0,Human
chris-ramon,22.0,Human
bootstraponline,100.0,Human
marijnh,6.0,Human
visualfc,100.0,Human
cordoval,100.0,Human
stephpy,22.0,Human
mhchia,16.0,Human
revolunet,20.0,Human
dingo-d,25.0,Human
TriangleJuice,22.0,Human
mhallin,100.0,Human
alimanfoo,100.0,Human
Namiii,12.0,Human
nuxzero,100.0,Human
soffchen,19.0,Human
nadoo,100.0,Human
BryanApellanes,100.0,Human
drewsonne,4.0,Human
cvasseng,100.0,Human
gregberge,20.0,Human
sixer1182,11.0,Human
kortschak,100.0,Human
oberbichler,100.0,Human
gfinak,20.0,Human
andrewimm,60.0,Human
jdolitsky,26.0,Human
mykola-mokhnach,100.0,Human
scottcorgan,100.0,Human
sawanoboly,100.0,Human
Rikkola,25.0,Human
jcraigk,100.0,Human
Arkounay,22.5,Human
integrii,27.0,Human
shockey,0.0,Human
jaqx0r,12.0,Human
bartoszpietrzak1994,0.0,Human
sequoiaat,13.0,Human
Dylan-DPC,100.0,Human
kinggoesgaming,13.0,Human
antleblanc,9.0,Human
jrobeson,100.0,Human
lucaslorentz,17.0,Human
ruimarinho,90.0,Human
Martin0809,100.0,Human
tomkerkhove,0.5,Human
cycjimmy,0.0,Human
vlttnv,31.0,Human
Gbuomprisco,2.0,Human
ueokande,100.0,Human
ondrej-fabry,28.0,Human
DjebbZ,25.0,Human
MortalFlesh,100.0,Human
maciejtreder,8.0,Human
dcousens,100.0,Human
ekohl,26.0,Human
marjan-georgiev,100.0,Human
tartley,8.0,Human
junderw,16.0,Human
nicolaasuni,100.0,Human
ankurs,100.0,Human
SML-MeSo,18.0,Human
plazma-prizma,100.0,Human
smoke,100.0,Human
taku910,100.0,Human
zsquareplusc,16.0,Human
euvl,100.0,Human
serpentcs-dev1,100.0,Human
dbaeumer,100.0,Human
deepakkumar1984,100.0,Human
PuercoPop,20.0,Human
davazp,13.0,Human
kevinmehall,10.0,Human
Tasteful,100.0,Human
anntzer,100.0,Human
icy,9.0,Human
skyesx,0.0,Human
dreampiggy,100.0,Human
gavinorland,10.0,Human
