Followers,Type
26,Humain
59,Humain
4,Humain
154,Humain
219,Humain
5150,Humain
814,Humain
313,Humain
133,Humain
172,Humain
928,Humain
106,Humain
8,Humain
59,Humain
217,Humain
6,Humain
20,Humain
142,Humain
76,Humain
10,Humain
30,Humain
10,Humain
8,Humain
1618,Humain
7,Humain
269,Humain
31,Humain
66,Humain
179,Humain
207,Humain
327,Humain
350,Humain
61,Humain
36,Humain
18,Humain
21,Humain
11,Humain
98,Humain
142,Humain
100,Humain
14,Humain
4,Humain
22,Humain
16,Humain
62,Humain
64,Humain
71,Humain
222,Humain
125,Humain
17,Humain
419,Humain
22,Humain
12,Humain
148,Humain
86,Humain
25,Humain
244,Humain
24,Humain
175,Humain
360,Humain
44,Humain
141,Humain
161,Humain
221,Humain
158,Humain
48,Humain
1,Humain
18,Humain
45,Humain
302,Humain
33,Humain
424,Humain
15,Humain
247,Humain
79,Humain
190,Humain
98,Humain
158,Humain
11,Humain
79,Humain
212,Humain
14,Humain
578,Humain
3,Humain
11,Humain
11,Humain
33,Humain
285,Humain
1,Humain
27,Humain
1,Humain
43,Humain
92,Humain
942,Humain
187,Humain
435,Humain
77,Humain
107,Humain
1337,Humain
24,Humain
157,Humain
472,Humain
10,Humain
173,Humain
4,Humain
1,Humain
61,Humain
10,Humain
4,Humain
729,Humain
38,Humain
54,Humain
234,Humain
9,Humain
207,Humain
3,Humain
0,Humain
112,Humain
139,Humain
6,Humain
5,Humain
11,Humain
27,Humain
144,Humain
7,Humain
1972,Humain
149,Humain
24,Humain
31,Humain
75,Humain
288,Humain
36,Humain
19,Humain
1165,Humain
11957,Humain
43,Humain
617,Humain
132,Humain
25,Humain
4,Humain
6,Humain
67,Humain
160,Humain
600,Humain
49,Humain
20,Humain
5057,Humain
818,Humain
350,Humain
10,Humain
52,Humain
72,Humain
125,Humain
15,Humain
2,Humain
314,Humain
7,Humain
174,Humain
196,Humain
67,Humain
51,Humain
6,Humain
0,Humain
20,Humain
11,Humain
294,Humain
14,Humain
38,Humain
17,Humain
20,Humain
12,Humain
42,Humain
155,Humain
73,Humain
16,Humain
13,Humain
60,Humain
26,Humain
277,Humain
74,Humain
25,Humain
18,Humain
8,Humain
367,Humain
130,Humain
62,Humain
108,Humain
369,Humain
71,Humain
1796,Humain
163,Humain
50,Humain
32,Humain
19,Humain
51,Humain
1,Humain
23,Humain
149,Humain
303,Humain
868,Humain
1251,Humain
61,Humain
1139,Humain
4,Humain
12,Humain
2147,Humain
15,Humain
5,Humain
291,Humain
90,Humain
348,Humain
1,Humain
1,Humain
4,Humain
110,Humain
136,Humain
58,Humain
100,Humain
2,Humain
31,Humain
38,Humain
476,Humain
4,Humain
28,Humain
22,Humain
26,Humain
17,Humain
2,Humain
29,Humain
177,Humain
42,Humain
20,Humain
15,Humain
617,Humain
9,Humain
28,Humain
6,Humain
79,Humain
41,Humain
59,Humain
171,Humain
0,Humain
14,Humain
1,Humain
6,Humain
1,Humain
0,Humain
20,Humain
171,Humain
170,Humain
