Temps réponse,Compte
25096.0,mysql-oca-bot
351799.0,mysql-oca-bot
34465.0,mysql-oca-bot
306972.0,mysql-oca-bot
10980.0,mysql-oca-bot
2477.0,mysql-oca-bot
48493.0,mysql-oca-bot
1700.0,mysql-oca-bot
76311.0,mysql-oca-bot
91961.0,mysql-oca-bot
12195.0,mysql-oca-bot
2678408.0,mysql-oca-bot
20451.0,mysql-oca-bot
1007.0,mysql-oca-bot
83212.0,mysql-oca-bot
10429.0,mysql-oca-bot
82098.0,mysql-oca-bot
10420.0,mysql-oca-bot
85462.0,mysql-oca-bot
104828.0,mysql-oca-bot
85397.0,mysql-oca-bot
100255.0,mysql-oca-bot
12602.0,mysql-oca-bot
2674800.0,mysql-oca-bot
133.0,mysql-oca-bot
73895.0,mysql-oca-bot
171665.0,mysql-oca-bot
53859.0,mysql-oca-bot
1264.0,mysql-oca-bot
72021.0,mysql-oca-bot
2674797.0,mysql-oca-bot
57783.0,mysql-oca-bot
169669.0,mysql-oca-bot
10381.0,mysql-oca-bot
355368.0,mysql-oca-bot
11543.0,mysql-oca-bot
11553.0,mysql-oca-bot
78671.0,mysql-oca-bot
23779.0,mysql-oca-bot
78604.0,mysql-oca-bot
23739.0,mysql-oca-bot
14272.0,mysql-oca-bot
2678390.0,mysql-oca-bot
19923.0,mysql-oca-bot
1853171.0,mysql-oca-bot
25025.0,mysql-oca-bot
2682.0,mysql-oca-bot
19815.0,mysql-oca-bot
2678406.0,mysql-oca-bot
41817.0,mysql-oca-bot
2515800.0,mysql-oca-bot
19515.0,mysql-oca-bot
266804.0,mysql-oca-bot
6497.0,mysql-oca-bot
20172.0,mysql-oca-bot
1381625.0,mysql-oca-bot
15474.0,mysql-oca-bot
82823.0,mysql-oca-bot
2678407.0,mysql-oca-bot
70522.0,mysql-oca-bot
15921.0,mysql-oca-bot
3605.0,mysql-oca-bot
266386.0,mysql-oca-bot
16059.0,mysql-oca-bot
23142.0,mysql-oca-bot
3785.0,mysql-oca-bot
3662.0,mysql-oca-bot
5773.0,mysql-oca-bot
71697.0,mysql-oca-bot
77826.0,mysql-oca-bot
53479.0,mysql-oca-bot
2678398.0,mysql-oca-bot
12428.0,mysql-oca-bot
10732.0,mysql-oca-bot
75564.0,mysql-oca-bot
9674.0,mysql-oca-bot
54695.0,mysql-oca-bot
59238.0,mysql-oca-bot
3995.0,mysql-oca-bot
104431.0,mysql-oca-bot
74418.0,mysql-oca-bot
2170.0,mysql-oca-bot
23168.0,mysql-oca-bot
3151.0,mysql-oca-bot
11436.0,mysql-oca-bot
42202.0,mysql-oca-bot
28554.0,mysql-oca-bot
4801.0,mysql-oca-bot
20901.0,mysql-oca-bot
10357.0,mysql-oca-bot
26253.0,mysql-oca-bot
56619.0,mysql-oca-bot
116592.0,mysql-oca-bot
38499.0,mysql-oca-bot
2678410.0,mysql-oca-bot
32428.0,mysql-oca-bot
7474.0,mysql-oca-bot
624.0,mysql-oca-bot
7205.0,mysql-oca-bot
6859.0,mysql-oca-bot
84101.0,mysql-oca-bot
66805.0,mysql-oca-bot
7036.0,mysql-oca-bot
75364.0,mysql-oca-bot
79208.0,mysql-oca-bot
78361.0,mysql-oca-bot
253132.0,mysql-oca-bot
10345.0,mysql-oca-bot
14308.0,mysql-oca-bot
67466.0,mysql-oca-bot
2682000.0,mysql-oca-bot
114676.0,mysql-oca-bot
61434.0,mysql-oca-bot
30677.0,mysql-oca-bot
33446.0,mysql-oca-bot
2678404.0,mysql-oca-bot
25623.0,mysql-oca-bot
20344.0,mysql-oca-bot
51628.0,mysql-oca-bot
1468801.0,mysql-oca-bot
11744.0,mysql-oca-bot
59875.0,mysql-oca-bot
100439.0,mysql-oca-bot
67116.0,mysql-oca-bot
86407.0,mysql-oca-bot
11730.0,mysql-oca-bot
37457.0,mysql-oca-bot
7591.0,mysql-oca-bot
29674.0,mysql-oca-bot
2678398.0,mysql-oca-bot
10369.0,mysql-oca-bot
2678399.0,mysql-oca-bot
2928.0,mysql-oca-bot
76762.0,mysql-oca-bot
40194.0,mysql-oca-bot
903464.0,mysql-oca-bot
150889.0,mysql-oca-bot
19375.0,mysql-oca-bot
8931.0,mysql-oca-bot
61422.0,mysql-oca-bot
4252.0,mysql-oca-bot
