Bot,Humain
,16.0
,29.0
,40.0
,50.0
,32.0
,24.0
,25.0
,71.5
,18.0
,27.0
,24.0
,22.0
,32.0
,100.0
,35.0
,33.0
,65.0
,41.0
,31.0
,31.0
,33.0
,23.0
,74.5
,23.0
,38.5
,29.5
,33.0
,36.0
,24.0
,30.0
,69.0
,66.0
,30.0
,32.0
,31.0
,44.5
,32.0
,38.0
,22.0
,29.0
,38.5
,68.5
,38.0
,20.0
,28.0
,23.0
,29.0
,28.0
,38.5
,36.0
,32.0
,57.0
,33.0
,31.0
,30.0
,29.0
,31.0
,69.5
,67.5
,69.0
,26.0
,19.5
,18.0
,34.0
,8.0
,6.0
,20.0
,56.5
,28.0
,27.0
,22.5
,31.0
,39.0
,15.0
,70.5
,31.0
,35.0
,37.0
,36.0
,38.0
,67.0
,33.5
,36.0
,20.0
,50.0
,31.0
,26.0
,100.0
,24.0
,17.0
,36.0
,22.0
,26.0
,22.0
,18.5
,24.5
,35.0
,33.0
,36.0
,68.0
,19.0
,31.0
,32.0
,27.0
,18.0
,28.0
,10.0
,74.0
,63.0
,100.0
,34.0
,38.0
,14.0
,32.0
,24.0
,32.0
,36.0
,29.0
,25.5
,60.5
,39.5
,58.0
,25.0
,66.5
,39.0
,28.0
,34.0
,56.0
,75.0
,31.0
,34.0
,30.0
,9.0
,27.0
,33.0
,31.5
,33.0
,31.0
,36.5
,27.0
,67.0
,19.5
,31.0
,27.5
,35.0
,27.0
,34.0
,36.0
,23.0
,32.0
,33.0
,34.0
,51.0
,26.0
,22.5
,30.0
,27.0
,36.0
,68.0
,21.0
,36.5
,35.0
,33.0
,33.5
,100.0
,38.0
,35.0
,38.0
,69.0
,5.0
,33.5
,26.0
,35.5
,38.0
,68.0
,33.0
,70.0
,27.0
,28.0
,26.0
,31.0
,35.0
,29.0
,23.0
,30.0
,100.0
,17.0
,37.0
,30.0
,30.0
,30.0
,29.0
,30.0
,55.5
,27.0
,47.0
,28.0
,24.0
,29.0
,27.5
,42.0
,8.5
,33.0
,33.0
,34.5
,67.0
,32.5
,32.0
,8.0
,22.0
,29.0
,50.0
,26.0
,68.0
,19.0
,61.5
,39.0
,28.0
,100.0
,100.0
,40.0
,21.0
,26.0
,25.5
,30.0
,17.0
,65.0
,35.0
,24.0
,32.0
,32.0
,22.0
,32.0
,33.0
,32.0
,39.0
,34.0
,33.0
,24.0
,27.0
,26.0
,28.0
,32.0
,33.0
,27.0
,32.0
,12.0
,33.0
,13.0
,26.0
,35.0
,32.0
,35.0
,25.5
,36.0
,28.0
,24.0
,27.0
,35.0
,35.0
,34.0
,33.0
,71.0
,35.0
,28.0
,23.0
,38.0
,31.0
,31.0
,67.5
,35.0
,28.0
,30.0
,30.0
,44.0
,30.0
,22.0
,37.0
,33.0
,31.0
,26.0
,33.5
,21.0
,34.0
,40.0
,33.0
,32.0
,39.0
,31.0
,35.0
,13.0
,66.5
,21.5
,77.0
,35.0
,18.0
,33.5
,48.0
,15.0
,55.5
,24.0
,16.0
,39.0
,100.0
,34.0
,33.0
,32.0
,30.0
,28.0
,68.5
,6.5
,25.0
,24.0
,40.0
,30.0
,40.0
,34.0
,34.0
,33.0
,28.0
,100.0
,28.0
,41.0
,66.5
,22.0
,52.5
,33.0
,36.5
,11.0
,33.0
,27.0
,12.5
,29.0
,30.0
,34.0
,33.0
,32.0
,28.0
,30.0
,27.0
,9.0
,29.5
,73.0
,12.0
,33.0
,38.0
,37.0
,31.5
,18.0
,4.0
,31.0
,35.0
,33.0
,23.0
,31.0
,31.0
,34.0
,18.0
,65.5
,71.5
,28.0
,35.0
,11.0
,28.0
,28.0
,27.0
,32.0
,27.0
,36.0
,100.0
,40.0
,37.0
,23.0
,33.0
,10.0
,32.0
,57.5
,61.5
,36.0
,23.0
,16.0
,30.0
,18.0
,24.0
,23.0
,31.0
,9.0
,29.0
,34.0
,41.0
,68.5
,100.0
,50.0
,35.0
,32.5
,39.0
,38.0
,21.0
,35.0
,36.5
,42.0
,32.0
,34.0
,30.0
,36.0
,18.0
,26.0
,29.0
,15.5
,41.0
,16.0
,19.0
,30.0
,17.0
,32.0
,42.0
,43.0
,53.5
,35.0
,76.5
,26.0
,37.0
,36.0
,30.0
,100.0
,31.0
,16.0
,22.0
,57.5
,36.0
,27.0
,18.0
,29.0
,29.0
,32.0
,36.0
,36.0
,27.0
,60.5
,30.0
,43.0
,36.0
,37.0
,100.0
,29.0
,66.5
,25.0
,36.0
,65.0
,31.0
,38.0
,35.0
,35.0
,36.0
,35.0
,34.0
,31.5
,25.0
,68.5
,33.5
,31.0
,32.0
,30.0
,33.0
,34.0
,33.0
,36.0
,35.0
,100.0
,21.0
,66.0
,59.0
,56.0
,25.0
,17.0
,15.5
,28.0
,28.5
,56.0
,26.0
,100.0
,57.5
,36.0
,38.0
,26.0
,43.0
,32.0
,20.0
,24.0
,23.0
,29.5
,27.0
,100.0
,23.0
,29.0
,25.0
