Bot,Humain
,33.0
,34.0
,25.5
,25.0
,35.0
,30.0
,34.0
,32.0
,30.5
,29.0
,29.0
,28.0
,30.0
,40.5
,27.0
,29.0
,31.0
,25.0
,35.5
,29.0
,26.0
,27.0
,33.0
,31.0
,28.0
,27.0
,31.0
,26.0
,33.0
,30.0
,23.0
,29.5
,21.0
,30.5
,32.0
,21.0
,27.0
,30.0
,31.0
,32.0
,27.0
,31.5
,27.0
,31.0
,34.0
,25.0
,30.0
,30.0
,64.5
,37.0
,24.0
,26.0
,33.0
,22.0
,32.0
,29.0
,31.0
,33.0
,60.0
,32.0
,31.5
,31.0
,36.0
,26.0
,31.0
,25.5
,29.0
,33.0
,32.0
,31.0
,36.5
,28.0
,29.0
,26.0
,31.0
,31.0
,22.5
,50.5
,21.0
,20.0
,11.0
,32.0
,11.0
,31.0
,31.0
,30.0
,31.0
,29.0
,29.0
,31.0
,26.0
,23.0
,31.0
,32.0
,16.5
,32.0
,28.0
,12.0
,23.0
,33.0
,32.0
,32.0
,26.0
,32.0
,85.5
,27.0
,47.0
,36.0
,57.0
,26.5
,32.0
,48.0
,7.0
,33.0
,32.0
,26.0
,34.0
,30.0
,31.0
,26.0
,30.0
,21.0
,30.0
,30.0
,27.0
,35.0
,69.0
,32.0
,26.0
,28.0
,32.0
,25.0
,26.0
,29.0
,31.0
,30.0
,32.0
,31.0
,30.0
,11.0
,25.0
,28.0
,28.0
,29.0
,34.0
,30.0
,41.0
,29.0
,30.0
,21.0
,31.0
,26.0
,38.5
,25.0
,30.0
,25.5
,100.0
,34.0
,15.0
,29.0
,22.0
,25.0
,31.0
,33.0
,30.0
,31.5
,23.0
,32.0
,27.0
,23.0
,33.0
,31.5
,29.0
,35.0
,36.0
,30.0
,7.0
,24.0
,30.0
,27.0
,26.0
,33.0
,31.0
,32.0
,38.0
,32.0
,33.0
,26.0
,34.5
,30.0
,30.0
,34.0
,27.0
,30.0
,32.0
,27.0
,32.0
,29.0
,24.0
,36.0
,31.0
,67.5
,27.0
,33.0
,32.0
,29.0
,34.0
,39.0
,32.0
,27.0
,32.0
,34.0
,35.0
,30.0
,30.0
,28.0
,10.0
,28.0
,50.0
,33.0
,31.0
,31.0
,37.5
,22.0
,35.0
,36.0
,35.0
,60.0
,25.0
,30.0
,34.0
,25.0
,32.0
,28.0
,24.0
,29.5
,18.0
,31.0
,28.0
,26.0
,30.5
,32.0
,36.0
,26.0
,33.0
,31.0
,23.0
,22.0
,28.0
,28.0
,28.0
,26.0
,26.0
,35.5
,35.0
,28.0
,30.0
,30.0
,31.0
,30.0
,31.0
,37.0
,30.0
,42.0
,34.0
,32.0
,32.0
,29.5
,40.0
,24.0
,27.0
,32.0
,31.0
,32.0
,31.0
,23.0
,36.0
,27.5
,31.0
,40.0
,29.0
,25.0
,32.0
,28.0
,29.0
,30.0
,29.0
,31.0
,35.0
,31.0
,27.0
,29.0
,32.0
,33.0
,33.0
,30.0
,33.0
,31.0
,27.0
,29.0
,31.0
,32.0
,29.0
,25.0
,32.0
,23.0
,32.0
,31.0
,32.0
,33.0
,35.0
,36.0
,32.0
,65.5
,31.0
,36.0
,51.5
,34.0
,31.0
,33.0
,28.0
,26.0
,20.0
,29.0
,30.0
,28.0
,24.0
,35.0
,24.0
,25.0
,27.0
,31.0
,28.0
,33.0
,21.5
,30.0
,29.0
,28.0
,34.0
,30.0
,27.0
,29.0
,32.0
,33.0
,68.0
,35.0
,29.0
,31.0
,26.0
,29.0
,22.0
,29.0
,29.0
,30.0
,68.5
,29.0
,33.0
,41.0
,31.0
,33.0
,29.0
,29.0
,30.0
,32.0
,32.0
,26.0
,38.0
,34.0
,35.0
,28.0
,32.0
,33.0
,34.0
,28.5
,27.0
,30.0
,31.0
,31.0
,35.0
,26.0
,25.0
,26.0
,28.0
,32.0
,23.0
,28.0
,27.0
,26.0
,29.0
,31.0
,26.0
,31.0
,30.5
,33.0
,36.0
,26.0
,31.0
,36.0
,31.0
,30.0
,31.0
,27.0
,19.0
,28.0
,31.0
,32.0
,100.0
,32.0
,33.0
,30.0
,62.0
,28.0
,32.0
,35.0
,31.0
,38.0
,32.0
,28.0
,36.0
,29.0
,24.0
,31.0
,27.5
,35.0
,31.0
,30.0
,32.0
,31.0
,31.0
,32.0
,33.0
,29.0
,25.0
,32.0
,27.0
,26.0
,27.0
,68.0
,25.0
,41.0
,34.0
,32.0
,29.0
,31.0
,26.0
,32.0
,31.0
,32.0
,30.0
,24.0
,30.0
,29.5
,32.0
,34.0
,24.0
,34.0
,31.0
,26.0
,30.0
,29.0
,33.0
,41.0
,33.0
,31.0
,31.0
,26.0
,33.0
,32.0
,29.0
,34.0
,27.0
,35.5
,28.0
,33.0
,29.5
,33.0
,31.0
,33.5
,27.0
,31.0
,22.0
,29.0
,31.0
,30.0
,34.0
,33.0
,32.0
,32.0
,24.0
,23.0
,33.5
,32.0
,32.0
,33.0
,31.0
,29.0
,31.0
,25.0
,26.0
,33.0
,28.0
,34.0
,32.0
,31.0
,66.5
,27.0
,36.0
,29.0
,28.0
,31.0
,32.0
,30.0
,25.0
,32.0
,30.0
,25.0
,68.5
,32.0
,29.0
,24.0
,31.0
,29.0
,28.0
,30.0
,32.0
,27.0
,25.0
,27.0
,100.0
,34.0
,27.0
,29.0
,31.0
,31.0
,34.0
,31.0
,27.0
,33.0
,28.0
,21.0
,37.0
,31.0
,28.5
,25.0
,27.0
,27.0
,28.0
,33.0
,28.0
,31.0
,26.0
,28.0
,29.0
,34.0
,25.0
,28.0
,28.0
,31.0
,33.5
,28.0
,32.0
,27.0
,30.0
,36.0
,28.0
,30.0
,34.0
,29.0
,29.0
,37.0
,30.0
,11.0
,29.0
,39.0
,31.0
,34.0
,27.0
,29.0
,34.0
,22.0
,29.0
,32.0
,30.0
,29.0
,32.0
,32.0
,30.0
,31.0
,29.0
,30.0
,21.0
,29.0
,67.0
,26.0
,32.0
,31.0
,29.0
,100.0
,32.0
,26.0
,32.0
,28.0
,27.0
,27.0
,30.0
,30.0
,29.0
,28.0
,32.0
,32.0
,29.0
,34.0
,28.0
,26.0
,10.0
,25.0
,30.0
,24.0
,34.0
,25.0
,30.0
,31.5
,30.0
,38.0
,31.0
,29.0
,31.0
,34.0
,34.0
,30.0
,69.0
,30.0
,30.0
,43.0
,32.0
,31.0
,29.0
,28.0
,28.0
,34.0
,29.0
,35.0
,28.0
,32.0
,33.0
,34.0
,27.0
,31.0
,33.0
,34.0
,37.0
,25.0
,31.0
,28.0
,30.0
,27.0
,22.5
,29.0
,28.0
,34.0
,22.0
,33.0
,32.0
,32.0
,34.0
,26.0
,26.0
,28.0
,59.0
,31.0
,32.0
,31.0
,21.0
,30.0
,35.0
,30.0
,30.0
,32.0
,33.0
,14.0
,25.0
,29.0
,26.0
,37.0
,31.0
,29.0
,34.0
,29.0
,29.0
,29.0
,31.0
,32.5
,23.0
,30.0
,30.0
,33.0
,32.0
,30.0
,22.0
,62.5
,32.0
,22.0
,33.0
,28.0
,23.0
,31.0
,33.0
,32.0
,28.0
,31.0
,100.0
,30.0
,26.0
